Unnamed: 0,Year,Life_expectancy,Adult_Mortality,Alcohol,Percentage_expenditure,Hepatitis_B,Measles,BMI,Under_five_deaths,Polio,Total_expenditure,Diphtheria,Incidents_HIV,GDP,Population,Thinness_ten_nineteen_years,Thinness_five_nine_years,Income_composition_of_resources,Schooling,Region_Africa,Region_Asia,Region_Europe,Region_North America,Region_Oceania,Region_South America,Status_Developed
0,2015,65.0,263.0,0.01,0.05256523492930164,65.0,16,19.1,3.5,93.0,0.5787518573551262,65.0,0.1,0.03932166555602139,0.04337550453157784,17.2,17.3,0.479,10.1,0,1,0,0,0,0,0
1,2014,59.9,271.0,0.01,0.05422004420865794,62.0,492,18.6,3.5,58.0,0.5802377414561664,62.0,0.1,0.04124106935417277,0.02312962917586626,17.5,17.5,0.476,10.0,0,1,0,0,0,0,0
2,2013,59.9,268.0,0.01,0.05399560911601737,64.0,430,18.1,3.5,62.0,0.5765230312035662,64.0,0.1,0.04252676402873624,0.04337550453157784,17.7,17.7,0.47,9.9,0,1,0,0,0,0,0
3,2012,59.5,272.0,0.01,0.05765703347309005,67.0,16,17.6,3.5,67.0,0.6054977711738484,67.0,0.1,0.045106057157516956,0.2610563374264542,17.9,18.0,0.463,9.8,0,1,0,0,0,0,0
4,2011,59.2,275.0,0.01,0.0052337704289913065,68.0,16,17.2,3.5,68.0,0.5572065378900446,68.0,0.1,0.0041750235159212145,0.21032979571303778,3.3,18.2,0.454,9.5,0,1,0,0,0,0,0
5,2010,58.8,279.0,0.01,0.058759634964196644,66.0,16,16.7,3.5,66.0,0.6560178306092124,66.0,0.1,0.03723399656616749,0.2035909153916459,3.3,18.4,0.448,9.2,0,1,0,0,0,0,0
6,2009,58.6,281.0,0.01,0.04185935770589661,63.0,16,16.2,3.5,63.0,0.6723625557206537,63.0,0.1,0.02998252225258371,0.020075482634029976,3.3,3.3,0.434,8.9,0,1,0,0,0,0,0
7,2008,58.1,287.0,0.03,0.019080754022247678,64.0,16,15.7,3.5,64.0,0.5913818722139673,64.0,0.1,0.025086891328806742,0.19273492887675042,3.3,3.3,0.433,8.7,0,1,0,0,0,0,0
8,2007,57.5,295.0,0.02,0.008045706235226404,63.0,16,15.2,3.5,63.0,0.4725111441307578,63.0,0.1,0.02484894636842934,0.04337550453157784,3.3,3.3,0.415,8.4,0,1,0,0,0,0,0
9,2006,57.3,295.0,0.03,0.012663154014641903,64.0,16,14.7,3.5,58.0,0.5245170876671619,58.0,0.1,0.0182834753182102,0.18284282990887274,3.3,3.3,0.405,8.1,0,1,0,0,0,0,0
10,2005,57.3,291.0,0.02,0.0010240597601323571,66.0,16,14.2,3.5,58.0,0.6188707280832094,58.0,0.1,0.0015937677996821645,0.018201868840255445,3.3,3.3,0.396,7.9,0,1,0,0,0,0,0
11,2004,57.0,293.0,0.02,0.01128010060313439,67.0,466,13.8,3.5,93.0,0.6255572065378899,93.0,0.1,0.014677676734768249,0.04337550453157784,3.3,3.3,0.381,6.8,0,1,0,0,0,0,0
12,2003,56.7,295.0,0.01,0.008177633835489433,65.0,798,13.4,3.5,41.0,0.6277860326894502,93.0,0.1,0.01329989410426925,0.16699030456233752,3.3,3.3,0.373,6.5,0,1,0,0,0,0,0
13,2002,56.2,3.0,0.01,0.012453595050530456,64.0,16,13.0,3.5,93.0,0.5490341753343239,93.0,0.1,0.012565362747514124,0.04337550453157784,3.3,2.2,0.341,6.2,0,1,0,0,0,0,0
14,2001,55.3,316.0,0.01,0.007798344658915176,63.0,16,12.6,3.5,93.0,0.5520059435364041,93.0,0.1,0.007817089837605427,0.2094728184770958,2.1,2.4,0.34,5.9,0,1,0,0,0,0,0
15,2000,54.8,321.0,0.01,0.007687897939107727,62.0,16,12.2,3.5,93.0,0.5817236255572065,93.0,0.1,0.007618855484338511,0.02074102403554224,2.3,2.5,0.338,5.5,0,1,0,0,0,0,0
16,2015,77.8,74.0,4.6,0.269151374062644,99.0,0,58.0,0.0,99.0,0.4182763744427934,99.0,0.1,0.26678101152211575,0.002036450766919069,1.2,1.3,0.762,14.2,0,0,1,0,0,0,0
17,2014,77.5,8.0,4.51,0.3161814594057033,98.0,0,57.2,1.0,98.0,0.40936106983655274,98.0,0.1,0.30873219214575925,0.020399108760622092,1.2,1.3,0.761,14.2,0,0,1,0,0,0,0
18,2013,77.2,84.0,4.76,0.31775069017234736,99.0,0,56.5,1.0,99.0,0.39301634472511143,99.0,0.1,0.29786259531236897,0.02044698537284759,1.3,1.4,0.759,14.2,0,0,1,0,0,0,0
19,2012,76.9,86.0,5.14,0.30415679569969034,99.0,9,55.8,1.0,99.0,0.387815750371471,99.0,0.1,0.2865834252247837,0.00020527627100224463,1.3,1.4,0.752,14.2,0,0,1,0,0,0,0
20,2011,76.6,88.0,5.37,0.32231191465982556,99.0,28,55.1,1.0,99.0,0.3967310549777117,99.0,0.1,0.29937825406699425,0.020842638261194882,1.4,1.5,0.738,13.3,0,0,1,0,0,0,0
21,2010,76.2,91.0,5.28,0.03084223717009982,99.0,10,54.3,1.0,99.0,0.3692421991084695,99.0,0.1,0.03325375113669226,0.02056907779546984,1.4,1.5,0.725,12.5,0,0,1,0,0,0,0
22,2009,76.1,91.0,5.79,0.2566742350827829,98.0,0,53.5,1.0,98.0,0.4026745913818722,98.0,0.1,0.277574207492047,0.20672280846749438,1.5,1.6,0.721,12.2,0,0,1,0,0,0,0
23,2008,75.3,1.0,5.61,0.027006983677886256,99.0,0,52.6,1.0,99.0,0.4086181277860327,99.0,0.1,0.02941868437027634,0.2081206219468509,1.6,1.6,0.713,12.0,0,0,1,0,0,0,0
