Unnamed: 0,Year,Life_expectancy,Adult_Mortality,Alcohol,Percentage_expenditure,Hepatitis_B,Measles,BMI,Under_five_deaths,Polio,Total_expenditure,Diphtheria,Incidents_HIV,GDP,Population,Thinness_ten_nineteen_years,Thinness_five_nine_years,Income_composition_of_resources,Schooling,Region_Africa,Region_Asia,Region_Europe,Region_North America,Region_Oceania,Region_South America,Status_Developed
2752,2009,76.0,84.0,1.73,0.2095390209887569,93.0,0,55.1,1,94.0,0.2921092564491654,93.0,0.1,0.22246048689567072,4.437974793604582e-05,5.1,4.9,0.831,13.2,0,1,0,0,0,0,0
2486,2002,67.9,221.0,4.41,0.17966272189944876,6.0,0,49.0,0,74.0,0.4924127465857359,73.0,1.6,0.14722265838727347,0.00338745121467227,3.5,3.5,0.0,11.0,0,0,0,0,0,1,0
642,2014,77.8,97.0,12.14,0.05390762159064016,95.0,0,63.1,0,95.0,0.5424886191198786,95.0,0.1,0.8886680134755933,0.29718941819421013,1.5,1.5,0.82,15.1,0,0,1,0,0,0,1
1229,2004,71.8,139.0,0.01,0.0,95.0,3,47.6,33,98.0,0.39757207890743546,99.0,0.1,0.0013998215443767098,4.437974793604582e-05,7.4,7.7,0.686,11.8,0,1,0,0,0,0,0
1583,2002,44.0,67.0,1.1,0.002784321127840912,64.0,92,14.8,3,79.0,0.31638846737481036,64.0,0.1,0.0018675487974232196,0.0851018759650134,7.7,7.6,0.388,10.4,1,0,0,0,0,0,0
572,2003,73.1,13.0,2.96,0.088097816112611,75.0,15,22.6,3,87.0,0.31638846737481036,86.0,0.1,0.08493239884015652,0.0009010297683406888,5.3,4.7,0.61,9.9,0,1,0,0,0,0,0
1684,2014,76.6,122.0,5.26,0.1205153567961973,84.0,3,62.8,36,87.0,0.428679817905918,87.0,0.1,0.09573139310916157,0.08710061943167109,1.6,1.5,0.754,13.1,0,0,0,1,0,0,0
70,2009,75.4,14.0,7.82,0.10703228641993474,98.0,0,43.8,0,98.0,0.31942336874051597,99.0,0.1,0.08650465178936408,4.437974793604582e-05,3.4,3.3,0.788,14.2,0,0,0,1,0,0,0
2868,2005,73.6,158.0,7.92,0.0,88.0,0,56.5,11,93.0,0.3065250379362671,87.0,0.1,0.0013998215443767098,4.437974793604582e-05,1.7,1.6,0.7,11.8,0,0,0,0,0,1,0
1221,2012,75.1,85.0,0.01,0.0,98.0,332,56.0,24,99.0,0.4802731411229136,99.0,0.1,0.0013998215443767098,4.437974793604582e-05,8.0,8.2,0.755,13.6,0,1,0,0,0,0,0
2096,2006,79.4,79.0,8.83,0.0,99.0,28,27.7,2,98.0,0.3877086494688922,98.0,0.1,0.0013998215443767098,4.437974793604582e-05,1.5,1.0,0.682,12.4,0,1,0,0,0,0,0
56,2007,48.2,375.0,6.35,0.13244522341141982,73.0,15,18.8,3,75.0,0.2071320182094082,73.0,0.1,0.1898764876574902,0.21019257495375648,9.6,9.6,0.454,7.7,1,0,0,0,0,0,0
1896,2012,52.7,374.0,8.54,0.1467038569747036,42.0,15,23.5,3,93.0,0.20106221547799696,93.0,0.1,0.18172356829054376,0.04178590410799455,1.7,1.6,0.507,9.7,1,0,0,0,0,0,0
1866,2010,73.2,154.0,3.38,0.21692175576586953,98.0,0,5.2,3,99.0,0.44992412746585736,98.0,0.1,0.10062952400947335,0.4023212910880092,1.9,1.8,0.614,11.4,0,0,0,1,0,0,0
1041,2000,78.2,84.0,8.48,0.0875573592588135,89.0,56,57.4,1,89.0,0.5273141122913505,89.0,0.1,0.08191716285651145,0.0013009888188165867,0.9,0.8,0.794,13.9,0,0,1,0,0,0,0
309,2010,68.7,22.0,3.95,0.0,91.0,0,49.3,12,93.0,0.3634294385432474,91.0,0.2,0.0013998215443767098,4.437974793604582e-05,1.2,1.1,0.643,13.8,0,0,0,0,0,1,0
729,2007,55.7,299.0,1.52,0.0,7.0,15,17.8,3,72.0,0.22458270106221545,93.0,1.9,0.0013998215443767098,4.437974793604582e-05,11.1,1.9,0.682,12.4,1,0,0,0,0,0,0
1406,2003,73.4,93.0,0.03,0.1139484087184426,99.0,0,65.5,1,99.0,0.19575113808801214,99.0,0.1,0.14980016413521052,4.437974793604582e-05,3.2,3.0,0.788,14.1,0,1,0,0,0,0,0
1979,2011,62.0,285.0,0.88,0.01677396508457011,66.0,0,45.7,13,69.0,0.3254931714719272,72.0,1.0,0.01162729354549298,0.5097173781646479,1.3,1.3,0.494,9.9,0,0,0,0,1,0,0
